,0,1,2,3,4,5,6,7,8,9
0,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Man from Down Under, The (1943)","Goodbye Girl, The (1977)",Office Space (1999),Enchanted April (1991),Vertigo (1958),12 Angry Men (1957)
1,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Goodbye Girl, The (1977)",Office Space (1999),Vertigo (1958),"Man from Down Under, The (1943)",12 Angry Men (1957),Enchanted April (1991)
2,Bambi (1942),Rain (1932),Mighty Aphrodite (1995),"Santa Clause, The (1994)",Seven Chances (1925),"Goodbye Girl, The (1977)",Eraser (1996),Office Space (1999),"Walk on the Moon, A (1999)",Matewan (1987)
3,Rain (1932),Bambi (1942),Mighty Aphrodite (1995),"Santa Clause, The (1994)",Seven Chances (1925),"Goodbye Girl, The (1977)",Eraser (1996),Office Space (1999),"Walk on the Moon, A (1999)",Matewan (1987)
4,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Man from Down Under, The (1943)","Goodbye Girl, The (1977)",Office Space (1999),Enchanted April (1991),Vertigo (1958),12 Angry Men (1957)
5,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Goodbye Girl, The (1977)","Santa Clause, The (1994)",Office Space (1999),Rain (1932),Vertigo (1958),12 Angry Men (1957)
6,Rain (1932),Bambi (1942),Mighty Aphrodite (1995),"Santa Clause, The (1994)",Seven Chances (1925),"Goodbye Girl, The (1977)",Eraser (1996),Office Space (1999),Matewan (1987),Kiss of Death (1995)
7,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Man from Down Under, The (1943)","Goodbye Girl, The (1977)",Office Space (1999),Enchanted April (1991),Vertigo (1958),12 Angry Men (1957)
8,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Man from Down Under, The (1943)","Goodbye Girl, The (1977)",Office Space (1999),Enchanted April (1991),Vertigo (1958),12 Angry Men (1957)
9,Bambi (1942),Mighty Aphrodite (1995),Seven Chances (1925),Eraser (1996),"Goodbye Girl, The (1977)",Office Space (1999),Rain (1932),Mafia! (1998),Matewan (1987),Batman (1989)
