,0,1,2,3,4,5,6,7,8,9
0,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Mamma Roma (1962),Song of Freedom (1936),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Return with Honor (1998),Tigrero: A Film That Was Never Made (1994),Smashing Time (1967),Schlafes Bruder (Brother of Sleep) (1995)
1,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Mamma Roma (1962),Song of Freedom (1936),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Return with Honor (1998),Tigrero: A Film That Was Never Made (1994),Smashing Time (1967),Message to Love: The Isle of Wight Festival (1996)
2,"Apple, The (Sib) (1998)","Shawshank Redemption, The (1994)","Gate of Heavenly Peace, The (1995)",Schindler's List (1993),Song of Freedom (1936),Mamma Roma (1962),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Saving Private Ryan (1998),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Nénette et Boni (1996)
3,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Mamma Roma (1962),Song of Freedom (1936),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Tigrero: A Film That Was Never Made (1994),Return with Honor (1998),Smashing Time (1967),Message to Love: The Isle of Wight Festival (1996)
4,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),"Godfather, The (1972)","Apple, The (Sib) (1998)",Casablanca (1942),"Bicycle Thief, The (Ladri di biciclette) (1948)",Rear Window (1954),Double Indemnity (1944),Chinatown (1974)
5,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Mamma Roma (1962),Song of Freedom (1936),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Return with Honor (1998),Tigrero: A Film That Was Never Made (1994),Smashing Time (1967),Schlafes Bruder (Brother of Sleep) (1995)
6,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Mamma Roma (1962),Song of Freedom (1936),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Return with Honor (1998),Tigrero: A Film That Was Never Made (1994),Smashing Time (1967),Schlafes Bruder (Brother of Sleep) (1995)
7,"Apple, The (Sib) (1998)",Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Gate of Heavenly Peace, The (1995)",Song of Freedom (1936),Mamma Roma (1962),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Lawrence of Arabia (1962),Rear Window (1954)
8,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Song of Freedom (1936),Mamma Roma (1962),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Tigrero: A Film That Was Never Made (1994),Return with Honor (1998),Sanjuro (1962)
9,"Apple, The (Sib) (1998)","Gate of Heavenly Peace, The (1995)",Mamma Roma (1962),Song of Freedom (1936),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Nénette et Boni (1996),Tigrero: A Film That Was Never Made (1994),Return with Honor (1998),Smashing Time (1967),Message to Love: The Isle of Wight Festival (1996)
